"Part";"Value";"Device";"Package";"Description";"ADDRESS1";"ADDRESS2";"ADDRESS3";"ADDRESS4";"ALTERNATEMANUFACTURER";"APPROVEDBY";"AUTHOR";"CHECKEDBY";"COMPANYNAME";"COMPONENTLINK1DESCRIPTION";"COMPONENTLINK1URL";"COMPTYPE";"CURRENTDATE";"CURRENTTIME";"DATE";"DESIGNATOR";"DOCUMENTFULLPATHANDNAME";"DOCUMENTNAME";"DOCUMENTNUMBER";"ENGINEER";"IMAGEPATH";"LATESTREVISIONDATE";"MANUFACTURER";"MF";"MODIFIEDDATE";"MOUNTTYPE";"MPN";"OC_FARNELL";"OC_NEWARK";"ORGANIZATION";"PACKAGEREFERENCE";"PARTNUMBER";"PIN_COUNT";"PROD_ID";"PROJECTNAME";"PUBLISHER";"REVISION";"ROHS";"RULE";"SF_SKU";"SHEETNUMBER";"SHEETTOTAL";"SYMBOLCREATOR";"SYMBOLVERSION";"TIME";"UM";"VALUE";"WE-NUMBER";
"BLK(CB)";"";"CONN_01PTH_LONGPAD";"1X01_LONGPAD";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BLK(CF)";"";"CONN_01PTH_LONGPAD";"1X01_LONGPAD";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BLK(TB)";"";"CONN_01PTH_LONGPAD";"1X01_LONGPAD";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BLK(TF)";"";"CONN_01PTH_LONGPAD";"1X01_LONGPAD";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"4.7uF";"4.7UF0603";"0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"";"";"";"";"";"";"";"";"4.7uF";"";
"C3";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07888";"";"";"";"";"";"";"";"";"";"";"";"";"2.2uF";"";
"C4";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07888";"";"";"";"";"";"";"";"";"";"";"";"";"2.2uF";"";
"C5";"470nF";"470NF-0402-16V-10%";"0402";"0.47uF/470nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09041";"";"";"";"";"";"";"";"";"";"";"";"";"470nF";"";
"C6";"10pF";"10PF-0603-50V-5%";"0603";"10pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11812";"";"";"";"";"";"";"";"";"";"";"";"";"10pF";"";
"C7";"22uF";"22UF-POLAR-PANASONIC_C-35V-20%";"PANASONIC_C";"22µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08618";"";"";"";"";"";"";"";"";"";"";"";"";"22uF";"";
"C8";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C9";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"";"";"";"";"";"";"10uF";"";
"C10";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C11";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C12";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C13";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C14";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"";"";"";"";"";"";"10uF";"";
"C15";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C16";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"";"";"";"";"";"";"10uF";"";
"C17";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C18";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C19";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C20";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C21";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"";"";"";"";"";"";"10uF";"";
"C22";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C23";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"";"";"";"";"";"";"10uF";"";
"C24";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C25";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C26";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C27";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C28";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"";"";"";"";"";"";"10uF";"";
"C29";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C30";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"";"";"";"";"";"";"10uF";"";
"C31";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C32";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C33";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C34";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C35";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"";"";"";"";"";"";"10uF";"";
"C36";"";"WCAP-AS5H_4X5,5_865230640005";"2.6X1.6X1(BXCXA)";"WCAP-AS5H Aluminum Electrolytic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"865230640005/1uF";
"C37";"";"WCAP-AS5H_4X5,5_865230640005";"2.6X1.6X1(BXCXA)";"WCAP-AS5H Aluminum Electrolytic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"865230640005/1uF";
"C38";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07888";"";"";"";"";"";"";"";"";"";"";"";"";"2.2uF";"";
"C39";"2.2uF";"2.2UF-0603-10V-20%";"0603";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07888";"";"";"";"";"";"";"";"";"";"";"";"";"2.2uF";"";
"C40";"1.0uF";"1.0UF-0402-16V-10%";"0402";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"";"";"";"";"";"";"";"";"";"";"";"1.0uF";"";
"C41";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
"C42";"0.1uF";"0.1UF-0402-16V-10%";"0402";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"";"";"";"";"";"";"";"";"0.1uF";"";
